[2025-10-30 18:13:36] [INFO    ] discord.client: logging in using static token
[2025-10-30 18:13:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Vyntrax Dominion', 'primary_guild': None, 'mfa_enabled': False, 'id': '1433399152565555260', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7386', 'clan': None, 'bot': True, 'avatar': '69d8e9d490ab66ff4f450214bb62c4e4'}, 'session_type': 'normal', 'session_id': 'b9f4ffac070bca04e4be5a17c44e0fce', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1432968022515257367'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'saudi-arabia', 'tel-aviv', 'hongkong'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1433399152565555260', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-2qq9",{"micros":121692,"calls":["id_created",{"micros":334,"calls":[]},"session_lookup_time",{"micros":1416,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-85",{"micros":119500,"calls":["start_session",{"micros":102725,"calls":["discord-api-rpc-7ccbd98cb6-fmtgq",{"micros":45955,"calls":["get_user",{"micros":6384},"get_guilds",{"micros":3697},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":373},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":47005},"apex_experiments",{"micros":2291},"user_activities",{"micros":6},"played_application_ids",{"micros":5},"linked_users",{"micros":4}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":2609,"calls":[]},"guilds_started",{"micros":94,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":14018,"calls":[]},"connect_finished",{"micros":14026,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-10-30 18:13:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-30 18:13:39] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: b9f4ffac070bca04e4be5a17c44e0fce).
[2025-10-30 18:13:39] [DEBUG   ] discord.client: Dispatching event connect
[2025-10-30 18:13:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'guild_scheduled_events': [], 'system_channel_flags': 0, 'presences': [], 'preferred_locale': 'en-US', 'default_message_notifications': 0, 'soundboard_sounds': [], 'banner': None, 'max_stage_video_channel_users': 50, 'profile': None, 'application_command_counts': {}, 'premium_features': None, 'large': False, 'activity_instances': [], 'moderator_reporting': None, 'owner_id': '1352440514498269255', 'vanity_url_code': None, 'id': '1432968022515257367', 'hub_type': None, 'voice_states': [], 'name': 'Vyntrax Dominion', 'system_channel_id': '1432968025082167458', 'afk_timeout': 300, 'inventory_settings': None, 'emojis': [], 'embedded_activities': [], 'threads': [], 'nsfw': False, 'description': None, 'discovery_splash': None, 'stage_instances': [], 'max_video_channel_users': 25, 'home_header': None, 'unavailable': False, 'premium_tier': 0, 'premium_subscription_count': 0, 'max_members': 25000000, 'icon': '40d0d0c83f41c5d4c3fa174a360ac314', 'features': [], 'verification_level': 0, 'joined_at': '2025-10-30T10:25:36.239059+00:00', 'afk_channel_id': None, 'owner_configured_content_level': 0, 'roles': [{'version': 1761716600436, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1432968022515257367', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761718049099, 'unicode_emoji': None, 'tags': {'bot_id': '302050872383242240'}, 'position': 1, 'permissions': '19473', 'name': 'DISBOARD.org', 'mentionable': False, 'managed': True, 'id': '1432974095829700684', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761732469454, 'unicode_emoji': None, 'tags': {'bot_id': '827536878915944469'}, 'position': 1, 'permissions': '805825744', 'name': 'Spacify', 'mentionable': False, 'managed': True, 'id': '1433034584320114771', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1761823330810, 'unicode_emoji': None, 'tags': {'bot_id': '1433399152565555260'}, 'position': 1, 'permissions': '12845981887607', 'name': 'Vyntrax Dominion', 'mentionable': False, 'managed': True, 'id': '1433401446551781400', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'explicit_content_filter': 0, 'members': [{'user': {'username': 'Vyntrax Dominion', 'public_flags': 0, 'primary_guild': None, 'id': '1433399152565555260', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7386', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '69d8e9d490ab66ff4f450214bb62c4e4'}, 'roles': ['1433401446551781400'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-30T10:25:36.239059+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'splash': None, 'latest_onboarding_question_id': None, 'public_updates_channel_id': None, 'member_count': 4, 'mfa_level': 0, 'safety_alerts_channel_id': None, 'version': 1761766974196, 'application_id': None, 'premium_progress_bar_enabled': False, 'nsfw_level': 0, 'rules_channel_id': None, 'stickers': [], 'lazy': True, 'incidents_data': None, 'region': 'deprecated', 'channels': [{'version': 1761716600441, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1432968025082167456', 'flags': 0}, {'version': 1761716600445, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1432968025082167457', 'flags': 0}, {'version': 1761716600452, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1432968025082167456', 'name': 'general', 'last_message_id': '1433443496399994883', 'id': '1432968025082167458', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1761716600462, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1432968025082167457', 'name': 'General', 'last_message_id': None, 'id': '1432968025082167459', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}]}}
[2025-10-30 18:13:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-30 18:13:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '30bbade504673d19774984c41749a06d', 'members': [{'user': {'username': 'DISBOARD', 'public_flags': 589824, 'primary_guild': None, 'id': '302050872383242240', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2760', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '67342a774a9f2d20d62bfc8553bb98e0'}, 'roles': ['1432974095829700684'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-29T06:07:27.890700+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Spacify', 'public_flags': 65536, 'primary_guild': None, 'id': '827536878915944469', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1966', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'aab7ecce08e908b9c379bbfde2eafb0f'}, 'roles': ['1433034584320114771'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-29T10:07:49.468101+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'redberry03373', 'public_flags': 0, 'primary_guild': {'tag': 'HTB', 'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}, 'id': '1352440514498269255', 'global_name': 'Muhammad Hamid Ali Khan', 'display_name_styles': None, 'display_name': 'Muhammad Hamid Ali Khan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '98faaf04688a078ad710409a33bb5a2c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-29T05:43:20.377000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Vyntrax Dominion', 'public_flags': 0, 'primary_guild': None, 'id': '1433399152565555260', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '7386', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '69d8e9d490ab66ff4f450214bb62c4e4'}, 'roles': ['1433401446551781400'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-30T10:25:36.239059+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1432968022515257367', 'chunk_index': 0, 'chunk_count': 1}}
[2025-10-30 18:13:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-30 18:13:39] [DEBUG   ] discord.state: Processed a chunk for 4 members in guild ID 1432968022515257367.
[2025-10-30 18:13:41] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-10-30 18:13:41] [DEBUG   ] discord.client: Dispatching event ready
[2025-10-30 18:13:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '1352440514498269255', 'timestamp': 1761830021, 'member': {'user': {'username': 'redberry03373', 'public_flags': 0, 'primary_guild': {'tag': 'HTB', 'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}, 'id': '1352440514498269255', 'global_name': 'Muhammad Hamid Ali Khan', 'display_name_styles': None, 'display_name': 'Muhammad Hamid Ali Khan', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '98faaf04688a078ad710409a33bb5a2c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-29T05:43:20.377000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1432968025082167458', 'guild_id': '1432968022515257367'}}
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event typing
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-10-30 18:13:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-30T13:13:41.549000+00:00', 'pinned': False, 'nonce': '1433443749505007616', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-29T05:43:20.377000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433443747701588029', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '1432968025082167458', 'author': {'username': 'redberry03373', 'public_flags': 0, 'primary_guild': {'tag': 'HTB', 'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}, 'id': '1352440514498269255', 'global_name': 'Muhammad Hamid Ali Khan', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'HTB', 'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}, 'avatar_decoration_data': None, 'avatar': '98faaf04688a078ad710409a33bb5a2c'}, 'attachments': [], 'guild_id': '1432968022515257367'}}
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event message
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event command
[2025-10-30 18:13:42] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-10-30T13:13:41.980000+00:00', 'pinned': False, 'nonce': '6212123394362504805', 'mentions': [{'username': 'redberry03373', 'public_flags': 0, 'primary_guild': {'tag': 'HTB', 'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-29T05:43:20.377000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1352440514498269255', 'global_name': 'Muhammad Hamid Ali Khan', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'HTB', 'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}, 'avatar_decoration_data': None, 'avatar': '98faaf04688a078ad710409a33bb5a2c'}], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1433401446551781400'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-10-30T10:25:36.239059+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1433443749509464064', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '<@1352440514498269255>hello', 'components': [], 'channel_type': 0, 'channel_id': '1432968025082167458', 'author': {'username': 'Vyntrax Dominion', 'public_flags': 0, 'primary_guild': None, 'id': '1433399152565555260', 'global_name': None, 'display_name_styles': None, 'discriminator': '7386', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '69d8e9d490ab66ff4f450214bb62c4e4'}, 'attachments': [], 'guild_id': '1432968022515257367'}}
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event message
[2025-10-30 18:13:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1432968025082167458/messages with {"content":"<@1352440514498269255>hello","components":[],"nonce":"6212123394362504805","enforce_nonce":true,"tts":false} has returned 200
[2025-10-30 18:13:42] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-10-30 18:13:42] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1432968025082167458/messages has received {'type': 0, 'content': '<@1352440514498269255>hello', 'mentions': [{'id': '1352440514498269255', 'username': 'redberry03373', 'avatar': '98faaf04688a078ad710409a33bb5a2c', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': 'Muhammad Hamid Ali Khan', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': {'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'tag': 'HTB', 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}, 'primary_guild': {'identity_guild_id': '473760315293696010', 'identity_enabled': True, 'tag': 'HTB', 'badge': '5fbf677de9ff9e82c779b5801a2c6cc0'}}], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-10-30T13:13:41.980000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1433443749509464064', 'channel_id': '1432968025082167458', 'author': {'id': '1433399152565555260', 'username': 'Vyntrax Dominion', 'avatar': '69d8e9d490ab66ff4f450214bb62c4e4', 'discriminator': '7386', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': '534082e3b630c913a8f3526e408290c0', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6212123394362504805'}
[2025-10-30 18:13:42] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-10-30 18:13:49] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 7, 'op': 0, 'd': {'id': '1433443749509464064', 'channel_id': '1432968025082167458', 'guild_id': '1432968022515257367'}}
[2025-10-30 18:13:49] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-30 18:13:49] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-10-30 18:13:49] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-10-30 18:13:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_DELETE', 's': 8, 'op': 0, 'd': {'id': '1433443747701588029', 'channel_id': '1432968025082167458', 'guild_id': '1432968022515257367'}}
[2025-10-30 18:13:55] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-30 18:13:55] [DEBUG   ] discord.client: Dispatching event raw_message_delete
[2025-10-30 18:13:55] [DEBUG   ] discord.client: Dispatching event message_delete
[2025-10-30 18:14:19] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-10-30 18:14:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-30 18:15:01] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2025-10-30 18:15:01] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
